name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
atlanta,2016-01-01,45.9,39.6,42.8,41,32.4,36.8,33.2,69.1,0,0,0,,0,0,20.8,13.1,317,1023,41.6,9.9,96.9,8.4,4,,2016-01-01T07:42:25,2016-01-01T17:39:40,0.72,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-02,46.1,35.1,40.1,42.7,27.4,34.8,26.5,58.7,0,0,0,,0,0,18.3,13,313.5,1024,35.4,9.9,68.5,6,3,,2016-01-02T07:42:37,2016-01-02T17:40:25,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-03,52.7,35.1,42.3,52.7,29.9,38.4,26.7,55.3,0,0,0,,0,0,20.8,12.7,306.5,1018.8,32.6,9.9,125.4,10.7,6,,2016-01-03T07:42:47,2016-01-03T17:41:11,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-04,44.3,31.4,38.4,38.2,25.1,31.2,22.8,54,0,0,0,,0,0,26.7,16.5,280.3,1021.6,8.7,9.9,156.2,13.5,6,,2016-01-04T07:42:55,2016-01-04T17:41:58,0.86,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-05,43.5,26.5,34.5,38.9,19.9,29,13.9,44.5,0,0,0,,0,0,18.3,12.1,69.1,1031.9,6.2,9.9,159.8,13.9,6,,2016-01-05T07:43:01,2016-01-05T17:42:47,0.9,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-06,45.3,26.6,36.2,41.1,18.8,30.2,14,40.7,0,0,0,,0,0,19.7,14.9,81.8,1030.2,33.7,9.9,132.3,11.4,5,,2016-01-06T07:43:06,2016-01-06T17:43:36,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-07,59.4,41,49.9,59.4,35.6,47.4,35.4,57.4,0,0,0,,0,0,,11,82,1020.8,88.1,9.9,89.6,7.8,4,,2016-01-07T07:43:08,2016-01-07T17:44:26,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-08,54.8,48.3,50.8,54.8,44.4,49.6,47,87,0.23,100,20.83,rain,0,0,,9.6,81,1016.1,100,7,60.5,5,3,,2016-01-08T07:43:09,2016-01-08T17:45:17,0.99,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-09,51.3,48.3,49.7,51.3,44.4,48,46.8,89.9,0.29,100,16.67,rain,0,0,20.8,10.1,94,1011.9,99.4,5.8,34.7,2.9,1,,2016-01-09T07:43:08,2016-01-09T17:46:09,1,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-10,50.9,30.6,41.2,50.9,22.7,34.8,33.9,75.2,0.05,100,8.33,rain,0,0,31.1,18.3,275.5,1013.3,85.9,9.7,118.9,10.1,5,,2016-01-10T07:43:05,2016-01-10T17:47:02,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-11,43.9,22.7,31.8,40.4,14.1,26.2,13.8,50.8,0,0,0,,0,0,19.7,11.1,291.7,1023.3,12.8,9.9,150.2,13.1,6,,2016-01-11T07:43:01,2016-01-11T17:47:55,0.01,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-12,52.9,27,39.3,52.9,23.6,36.8,21.6,51,0,0,0,,0,0,27,15.6,226.9,1021.1,4.9,9.9,158.9,13.7,6,,2016-01-12T07:42:54,2016-01-12T17:48:49,0.04,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-13,49.5,29.9,38.9,45,27,35.1,19.9,48.3,0,0,0,,0,0,18.3,12,283.2,1023,4.9,9.9,161.8,14.1,6,,2016-01-13T07:42:46,2016-01-13T17:49:44,0.07,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-14,59,29.2,42.9,59,29.2,42.5,27.2,56.9,0,0,0,,0,0,26,9.9,213.1,1020.1,20.3,9.9,149.2,12.9,6,,2016-01-14T07:42:36,2016-01-14T17:50:39,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-15,50.9,39.2,44.9,50.9,32.9,41.9,39.9,83.3,1.29,100,37.5,rain,0,0,21.9,12.8,147.8,1007.1,89.7,6.9,53.2,4.5,3,,2016-01-15T07:42:24,2016-01-15T17:51:35,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-16,57.4,44.4,50.6,57.4,39.6,49,41.2,72.9,0,0,0,,0,0,21.9,11.5,274.2,1009.2,50.6,7.6,126.9,11,6,,2016-01-16T07:42:10,2016-01-16T17:52:31,0.22,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2016-01-17,46.2,35.1,40.1,39.7,26.9,33.7,28.9,65.6,0.04,100,12.5,rain,0,0,28.6,16.9,315.8,1013.7,41.1,9.3,162.5,13.9,6,,2016-01-17T07:41:54,2016-01-17T17:53:28,0.28,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
